gene,domain_range,n_in_domain,n_out_domain,pathogenic_rate_in,pathogenic_rate_out,chi2,p_value
TP53,109-288,1162,990,0.2298,0.0515,133.48,7.116410649191643e-31
APC,960-1337,1624,10601,0.0844,0.0456,43.23,4.869318433007038e-11
BRCA1,1650-1855,1845,7404,0.0802,0.0894,1.45,0.22859841282028673
BRCA2,2804-3054,1234,13596,0.1029,0.0778,9.36,0.002222193894449727
MLH1,6-315,1513,2004,0.1117,0.1013,0.88,0.3484263864256345
MSH2,175-853,3486,1411,0.0975,0.0602,17.16,3.440529844249835e-05
MSH6,407-1360,5309,2252,0.0738,0.0577,6.14,0.013236202434495232
PMS2,14-853,4207,141,0.0516,0.0922,3.72,0.05381350853200727
PTEN,24-181,848,968,0.2193,0.1188,32.32,1.3082393733089335e-08
